Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
-,-,,-,-,-,Doris Day - Greatest Hits,"Rs. 1,100.00",-,-,-
Titan Books Ltd,David Gaider,"A mystical killer stalks the halls of the White Spire, the heart of templar power in the mighty Orlesian Empire. To prove his innocence, Adrian reluctantly embarks on a journey into the western wastelands that will not only reveal much more than he bargained for but change the fate of his fellow mages forever.",2011-12-23,085768647X,9780857686473,Dragon Age - Asunder: 3 (Dragon Age 3),"Rs. 1,900.00",Paperback,400,16.6 x 11 x 3.2 cm
Harper Collins,Robin Hobb,"The first book in a two part series from one of the greatest writers in the fantasy genre. Dragon Keeper returns fans to Hobb's best-loved world, full of dragons, magical ships and unforgettable characters.",2010,7273754,9780007273751,Dragon Keeper,"Rs. 1,765.00",paperback,560,6.93 x 4.41 x 1.69 inches
Running Press,Douglas Rushkoff and Tim Pilcher,,2008-04-03,762431849,978-0762431847,"E, the Incredibly Strange History of Ecstasy (Paperback)","Rs. 2,200.00",Paperback,-,16.5 x 16.3 x 1.8 cm
Harper Collins,Shivmurti,,-, 817223953X,9788172239534,EK KITAB EK KAHANI - TIRIYA CHARITER ,Rs. 695.00,Paperback,-,-
Schaum Outline Series,J. J. Cathey Jimmie J. Cathey,,1988-10-01,70102740,9780070102743,Electronics Devices & Circuits [Schaum],"Rs. 1,035.00",Paperback,352,-
S. Godage & Brothers (Pvt.) Ltd,Rohitha Munasinha,,2012,.,9789553039576,Eliyakanda Torture Camp,Rs. 850.00,Book Binding,208,.
Viking,Bimal Jalan,"As India marks the twenty-year milestone of economic liberalization, some concerns about the country's future prospects as an emerging power are beginning to be voiced: often, these stem from the past history of sharp swings in India's fortunes. Bimal Jalan has closely followed the path of India's economic policies across its changing trajectories, from before the time the economy was liberalized to the very present The pieces that appear here were all written during the last twenty years, with the exception of three prescient notes from the mid-1970s highlighting the need for economic reforms to foster growth. The principal thought behind these essays is that, in the past twenty years, India's capacity to grow faster than ever before has increased substantially because of its comparative advantage in relation to other countries. However, Jalan points out that for India to seize the opportunities that lie ahead, it is essential to bring about further reforms in the running of India's politics and administration in order to ensure inclusive and incremental economic growth.",2012,670085871,9780670085873,"Emerging India: Economics, Politics And Reforms","Rs. 1,980.00",Hardcover,336,-
-,-,,-,-,-,Emperor of All Maladies [Paperback],"Rs. 3,100.00",-,-,-
-,-,,-,-,-,Empire Burlesque,"Rs. 1,100.00",-,-,-
Godage International Publishers (Pvt) Ltd,Kay Weerasekara,,2008,9552094755,-,English Essay Writing Guide,Rs. 175.00,-,96,14.5 x 21.5 cm
VISHVA LEKHA PUBLISHERS,C.G.WEERAMANTHRY,,-,9555991677,-,EQUALITY AND FREEDOM,Rs. 600.00,-,193,-
FOURTH ESTATE LTD,John Briffa,"At last, a weight-loss book for the enlightened! By debunking the traditional, the conventional and the downright unproven, Escape the Diet Trap steers would-be dieters away from short-term regimes towards long-term success.",05 January 2012,7442432,9780007442430,Escape the Diet Trap ,"Rs. 2,860.00",Paperback,320,-
Viva Books Private Limited,D. Jagannatha Rao,"Literature pertaining to the Hindu religion and philosophy is an ocean in itself. This book aims to provide a bird s eye view (along with a deeper understanding) of all aspects of the Hindu religion and its various philosophies to the general reader. The book also helps the students of Indology, Indian Studies and Ancient Indian History to get a comprehensive perspective about the Hindu religion. One important feature of the book is that it discusses the origins of the Vedic religion in the light of latest discoveries and evidences. While the book deals with all aspects of the Hindu religion, the most important feature of the book however is the discussion of several prominent Hindu concepts according to their number symbolism unprecedented in any other book.",2012,8130919877,9788130919874,Essence Of Hindu Religion And Philosophy,"Rs. 1,725.00",Paperback,300,-
Standard Publishers Distributors,Gurcheran Singh,,2008,8180140423,9788180140426,Estimating Costing And Valuation,"Rs. 1,380.00",Paperback,701,-
Phi Learning,Frankena K William,Contents are same as US/UK editions. This is a simple and brief introduction to moral philisophy emphasizing a clearer and more philosophical thinking about ethical questions. Using the socratic method the author without presenting any conclusive proofs or disproofs leaves it to the reader to judge the acceptability of his arguments.,2009,8120302168,9788120302167,Ethics ,Rs. 835.00,Paperback,142,-
-,-,,-,-,-,Europop,"Rs. 1,100.00",-,-,-
Harpercollins,Multiscreen Media Pvt. Ltd,"Finally! A quiz book on the one topic you can never have enough of: Hindi cinema! Filled with fascinating titbits and obscure trivia, this book gives you a peek into the Hindi film industry. It’s like living the movies you love. Did you know Bobby Deol played a young Dharmendra in Dharam Veer? Or that Makarand Deshpande was to play the role of Munna Bhai? Astonishing and entertaining, this book is sure to make you a ‘deewana’ of Hindi cinema.",2011,9350292037,9789350292037,Extraaa Shots Challenge: Bollywood Quiz Book,"Rs. 1,085.00",Paperback,160,-
Skira Editore,Eva Respini,,-,8857200329,-,"Extreme Beauty in ""Vogue""","Rs. 6,300.00",-,184,11.5 x 10.4 x 1.1 inches
Manjul,Richard Webster,"Based on ancient Chinese wisdom similar to palmistry and acupuncture, face reading teaches us to really see the faces we look at every day. Learn how the zones of the face reveal personality characteristics and how meaning is hidden in our features. Read the fortune written on your own face and those of friends, family, colleagues and business contacts. Also included are helpful tips for reading emotional cues during important meetings like job interviews, as well as tips for recognizing when a person is lying. Better relationships and a more successful life can be yours when you learn to read faces.",2014-03-07,8183224407,9788183224406,Face Reading Quick & Easy ,"Rs. 1,560.00",Paperback,264,-
-,-,,-,-,-,Falling Into You,"Rs. 1,100.00",-,-,-
corgi,James Henry,R.D. Wingfield's unforgettable Jack Frost returns in this gripping prequel to the bestselling series. A Sunday Times Top 10 Bestseller,-,-,9780552161763,First Frost,Rs. 820.00,-,460,130mm X 200mm
Allen Lane,Allen Lane,"The story of Michael Lewis's new book is so hot that we can't talk about it yet . . .All we can say is that it involves Wall Street and features a cast of misfits and oddballs doing things with stupefying amounts of money and data that will have you by turns shocked, outraged, laughing, tearing your hair out, cheering - but throughout sitting on the very edge of your seat.The story is so big, so vitally important to us all, that only one person could tell it - Michael Lewis, the master of the Big Story.",2014-03-16,241003636,9780241003633,Flash Boys: A Wall Street Revolt,"Rs. 2,260.00",Hardcover,288,-
-,-,,-,-,-,Fleetwood Mac: Greatest Hits,"Rs. 1,100.00",-,-,-
Harper Collins,Stuart Macbride,,2009,7321716,9780007321711,Flesh House,"Rs. 1,475.00",Paperback,-,-
-,-,,-,-,-,FLY,"Rs. 1,100.00",-,-,-
Oxford University Press,Keith Stewart Thomson,"Fossils have been vital to our understanding of the formation of the earth and the origins of life. However, their impact has not been limited to debates about geology and evolution: attempts to explain their existence has shaken religion at its very roots, and they have remained a subject of ceaseless fascination for people of all ages and backgrounds. In this readable and wide-ranging book, Keith Thomson provides a remarkably all-encompassing explanation of fossils as a phenomenon. How did Darwin use fossils to support his theory of evolution? What are ""living fossils""? What fossils will we leave behind for future generations to examine? Beyond the scientific aspects, Thomson highlights the impact of fossils on philosophy and mythology, our concept of time, and today's popular culture. From the black market to the Piltdown Man, and from mythological dragons to living dinosaurs, fossils hold a permanent place in the popular imagination.",Dec 2005,192805045,9780192805041,Fossils A Very Short Introduction,"Rs. 2,240.00",Paperback,147,6.86 x 4.14 x 0.45 inches
-,-,,-,-,-,Franz Ferdinand,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Freedom [Hardcover],"Rs. 1,900.00",-,-,-
DOUBLEDAY,Pamela Druckerman,"What British parent hasn't noticed, on visiting France, how well-behaved French children are - compared to our own? Why do French children happily eat what is put in front of them? How can French mums chat to their friends while their children play quietly? The author, who lives in Paris, teaches us the basics of parenting a la francaise.",19 January 2012,385617615,9780385617611,French Children Don't Throw Food,Rs. 900.00,Hardback,368,20.6 x 13.4 x 2.9 cm
-,-,,-,-,-,Friday Night In San Francisco,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Fugees - Greatest Hits,"Rs. 1,100.00",-,-,-
Prentice Hall of India Pvt Ltd,NIIT,,2009,8120325621,9788120325623,Fundamentals of Computer Numerical Control,Rs. 745.00,Paperback,292,-
Wiley India Pvt Ltd,"Franklin W. Schwartz, Hubao Zhang",,2012,8126534230,9788126534234,Fundamentals Of Ground Water ,"Rs. 2,260.00",Paperback,600,-
Random House,Julian Crandall Hollick,"Ganga has always been more than just an ordinary river. For millions of Indians, she is also a goddess. Yet the river is exploited as much as she is worshipped. Her water is siphoned off for irrigation, toxic chemicals are dumped into her, and dams and barrages have been built on her course causing immense damage. Ganga is in danger of dying - but if the river dies, will the goddess die too? The question took journalist Julian Crandall Hollick on an extraordinary journey starting at Gaumukh and ending at Sagar Island. Travelling mostly on small country boats, he discovered a river that most people simply do not know: a river that never remains the same, which is often abandoned, and at times is no more than a stream. Combining travelogue, science and history, Ganga is a fascinating - and troubling - portrait of the river today. It will show you Ganga as you have never seen her before.",2007,8184000030,9788184000030,Ganga ,"Rs. 1,930.00",Hardcover,292,-
Harpercollins Publishers,"Gowri Motha, Karen Swan Macleod","Dr Gowri Motha is one the UK's most respected obstetricians, working in holistic practice alongside Dr Yehudi Gordon. Her Gentle Birth Method has been hugely popular with celebrities, including Gwyneth Paltrow. Now she helps mothers in the first year after birth bond with their child and give them the best start in life.",2008,7277857,9780007277858,Gentle First Year: The Essential Guide to Mother and Baby Wellbeing in the First Twelve Months,"Rs. 1,100.00",Paperback,336,-
Orion,Lincoln Child,"In this exciting and page-turning thriller we are introduced to Gideon Crew, star of the brand new Preston and Child series. At the tender age of twelve, Gideon Crew witnessed the brutal murder of his father, a scientist wrongly framed by the US government, and shot down by police during a hostage crisis. More than twenty years later, Gideon finally gets his revenge and fulfils the promise that he made to his mother on her death bed to clear their family name: he brings down the man who destroyed his father. But then a mysterious witness steps forward to confront Gideon on his crime - and to offer him the chance of a lifetime...",-,-,9781409135821,Gideon's Sword ,Rs. 620.00,-,342,115mmX180mm
Harper Collins Children,"Mary-kate Olsen, Ashley Olsen","Life is anything but boring for 14-year-old sisters, Riley and Chloe Carlson. Their parents are separated and the girls split their time between their mum's swanky beachfront pad and their dad's cosy, cluttered trailer. There are boys, clothes and rock star mates for a start!",2003,7144539,9780007144532,Girl Talk:mary Kate & Ashley,Rs. 850.00,Paperback,112,-
-,-,,-,-,-,Glass Houses,"Rs. 1,100.00",-,-,-
Rama Brothers India Pvt Ltd,Natanam G,,2006,8175812567,9788175812567,Goblin Market: Studies In Poets Christina Rossett,Rs. 200.00,Paperback,-,-
Harper Collins,Richard A. Daly,"This wonderful little book provides in a nutshell words that can restore a sense of wellbeing and peace. Each page has an inspirational thought or idea, along with a related Bible reference for futrther reading and encouragement.",12 May 2011,7447035,9780007447039,God's Little Book of Calm,"Rs. 1,700.00",Paperback,160,-
Harper Collins,Richard Daly,"'God is the God of all comfort, who comforts us in all our troubles.' The world is filled with people carrying heavy sorrows, and this inspirational book brings reassurance and encouragement for those dark and difficult times. Each page is filled with inspirational religious thoughts on the theme of comfort along with a related Bible reference for further reading and encouragement.",12 May 2011,7447043,9780007447046,God's Little Book of Comfort,"Rs. 1,030.00",Paperback,160,-
Harper Collins,Richard A. Daly,"Open this inspirational little book at any page, and restore your sense of peace and calm. Each page has an inspirational thought or idea, along with a related Bible reference for futrther reading and encouragement.",12 May 2011, 000744706X,9780007447060,God's Little Book of Peace,"Rs. 1,600.00",Paperback,160,-
-,Malinga Herman Gunarathna,,2017-04-16,-,-,God's Secret Agent,"Rs. 1,200.00",-,-,-
Harper Collins,Khushwant Singh,"It is most gratifying for me, at ninety-one, to know that there are people still wanting to read me. My first book, The Mark of Vishnu and Other Stories, was published in London in 1950.",2003,8172236581,9788172236588,Gods and Godmen of India,"Rs. 1,160.00",Paperback,-,-
Author Publication,Carl Muller,,-,-,9789550495023,Good Heavens! - Short Stories,Rs. 700.00,-,165,145mm X 210mm
"Running Press,U.S",Alison Trulock,,2006-03-07,076242639X,9780762426393,Grandmas Gone Wild! (Hardcover),"Rs. 1,500.00",Hardcover,96,22.3 x 22.5 x 1.5 cm
Dorling,Hartle,"Einstein's theory of general relativity is a cornerstone of modern physics. It also touches upon a wealth of topics that students find fascinating black holes, warped spacetime, gravitational waves, and cosmology. Until now, it has not been included in the curriculum of many undergraduate physics courses because the required math is too advanced. The aim of this ground-breaking new text is to bring general relativity into the undergraduate curriculum and make this fundamental theory accessible to virtually all physics majors. Using a ""physics first"" approach to the subject, renowned relativist James Hartle provides a fluent and accessible introduction that uses a minimum of new mathematics and illustrates a wealth of applications. Recognizing that there is not enough time in a short introductory course to present the traditional, tensor theory approach, James Hartle provides in this book a number of pedagogical innovations.",2006,8129700948,9788129700940,Gravity An Introduction to Einstiens General Relativity,"Rs. 2,250.00",Paperback,-,-
-,-,,-,-,-,Greatest Hits - Bangles,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,GreatesT Hits - Boston,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Greatest Hits 3,"Rs. 1,100.00",-,-,-
Atlantic Books,Roger Scruton,"""Roger Scruton is one of Britain's most respected thinkers and in this new book he offers a radically different solution to the planet's most important problem. """,01 January 2012,1848870760,9781848870765,Green Philosophy: How to Think Seriously About the Planet,"Rs. 3,715.00",Hardcover,304,23.1 x 16.3 x 4.3 cm
-,-,,-,-,-,Halfway Between The Gutter And The Stars,"Rs. 1,100.00",-,-,-
Asia Pacific Business Press Inc.,Niir Board,"The developments in science and technology have revolutionized the printing industry in the progressive countries of the world. There has been a considerable compact of this progress in the Indian printing industries as well. Keeping this fact in view the present book, Hand Book Of Printing Technology has been brought out to provide information on the latest developments in this field and gives an account of the various processes and techniques used in the printing technology. The book covers the different methods and tests used in offset, flexo, gravure and screen printing along with their application. It also gives a detailed description of various materials, tools and equipments used in the process of printing. Last but not the least, the book provides a list of manufacturers and suppliers of raw materials associated with the printing process.",2011,8178330873,9788178330877,Hand Book of Printing Technology,"Rs. 3,215.00",Paperback,672,-
Harper Collins,Puzzler Media,"After Su Doku, Hashi is one of the most popular Japanese logic puzzles in Japan. Hashi requires logic and reasoning, not mathematical ability. If you think Su Doku is addictive, you'll certainly enjoy the challenge of Hashi. A collection of 150 new puzzles of varying degrees of difficulty: 10 easy, 30 mild, 60 difficult, 40 super difficult, 10 super super difficult. Hashi means 'Bridge' in Japanese. In Hashi you must connect a series of circles (islands) containing numbers by lines (bridges) so that the islands form one continuous connected path. Easy enough? Well there are naturally some extra rules to make life a little harder: the bridges must be straight lines, running horizontally or vertically between the islands: they cannot run diagonally. The bridges cannot cross each other or any island. The number of bridges connected to each island is the same as the number inside the island and there can be a maximum of two bridges between any two islands.",2008,7281587,9780007281589,Hashi :Addictive Number Puzzle Book 1,Rs. 800.00,Paperback,256,-
Harper Collins,Tony Buzan,"Did you know that you only use 1% of your brain? In Head First, Tony Buzan, the foremost expert on creativity and the brain and the inventor of Mind Maps, shows you how to tap into the rest.",02 October 2000,722540469,9780722540466,Head First!: You're smarter than you think,"Rs. 3,600.00",Paperback,256,21.2 x 20 x 2.2 cm
Rama Brothers India Pvt Ltd,Raghukul Tilak,,2001,8175811269,9788175811263,Henry 4 Part 1 A Critical Study ,Rs. 165.00,Paperback,-,-
-,-,,-,-,-,Hero: The Life and Legend of Lawrence of Arabia [Hardcover],"Rs. 4,300.00",-,-,-
FOREMOST PRODUCTIONS LTD,Adrian Senadhira,,-,9559362003,-,History of Scientific Literature of Sri Lanka,Rs. 975.00,-,-,180mm X 240mm
Granta,Anthony Shadid,"Community is everything, home is everything, if you have lost your own -A warm, amusing and often heartbreaking story of a man rebuilding his ancestral home.",2012-09-01,1847087361,9781847087362,"House of Stone: A Memoir of Home, Family and a Lost Middle East","Rs. 1,700.00",Paperback,336,-
Kpi,Harry Tolley,,2002,8175541628,9788175541627,How to Pass Verbal Reasoning Tests,Rs. 495.00,Paperback,-,-
Palgrave MacMillan,John Peck,"In this text the author takes the reader through a set of steps that show how to respond to, interpret and develop a view of a novel, and how to present that view in an effective essay.",31 July 1995,333639944,9780333639948,How To Study A Novel,"Rs. 1,015.00",Paperback,218,8.5 x 5.43 x 0.47 inches
-,-,,-,-,-,Human Clay,"Rs. 1,100.00",-,-,-
Buddhist Missionary Society,K Sri Dhammananda Thera,"The book endeavors to explain human problems analytically and present them with the Buddhist point of view through Buddhist approach and understanding. The author has described the nature requires patience, diligence and devotion in a commendable manner and he deals with the various subjects as exhaustively as possible with a style which is both vigorous and candid. This book concludes with a list of sayings of the Buddha.The book endeavors to explain human problems analytically and present them with the Buddhist point of view through Buddhist approach and understanding. The author has described the nature requires patience, diligence and devotion in a commendable manner and he deals with the various subjects as exhaustively as possible with a style which is both vigorous and candid. This book concludes with a list of sayings of the Buddha.",1997,9679920739,-,Human Life And Problems ,Rs. 350.00,-,222,-
William Collins,Professor Brian Cox,Human life is a staggeringly strange thing. On the surface of a ball of rock falling around a nuclear fireball in the blackness of a vacuum the laws of nature conspired to create a naked ape that can look up at the stars and wonder where it came from.,2015-05-07,8125082,9780008125080,Human Universe,"Rs. 2,150.00",Paperback,272,-
-,-,,-,-,-,Hungary and Romania,Rs. 800.00,-,-,-
-,-,,-,-,-,I'd Know You Anywhere (Paperback),"Rs. 3,600.00",-,-,-
Aitbs,R M Hill,,2003,8185386196,9788185386195,Industrial Marketing ,Rs. 530.00,-,-,-
Doubleday Childrens,Christopher Paolini,"Not so very long ago, Eragon - Shadeslayer, Dragon Rider - was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now, the fate of an entire civilization rests on their shoulders. Long months of training and battle have brought victories and hope, but they have also brought heartbreaking loss. And still, the real battle lies ahead: they must confront Galbatorix. When they do, they will have to be strong enough to defeat him. And if they cannot, no one can. There will be no second chances. The Rider and his dragon have come farther than anyone dared to hope. But can they topple the evil king and restore justice to Alagaësia? And if so, at what cost?",-,-,9780385616508,Inheritance (Book4) ,"Rs. 1,320.00",-,860,150mm X 235mm
Hodder & Stoughton,Adam Lashinsky,,2012,1848547447,9781848547445,Inside Apple,"Rs. 1,735.00",Hardcover,272,-
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Checklist: 1) Get detention on purpose. 2) Help the shy girl with a makeover. 3) Throw the coolest beach party ever. 4) Meet the boy of your dreams. Chloe and Riley Carlson, so much to do, so little time.",2002,7144482,9780007144488,Instant Boyfriend:mary Kate & Ashley ,Rs. 850.00,Paperback,112,-
PEARSON EDUCATION,JOHN J. CRAIG,,-,8177587935,-,INTRODUCTION TO ROBOTICS,"Rs. 1,000.00",-,408,-
Zodiac Publishing UK Ltd,"Suzanne Kalloghlian,Catherine Sunga",,-,1904566944,9781904566946,Izzy's Tail ,"Rs. 2,200.00",Paperback,28,-
Harper Collins,Puzzler Media,"It appears we are a nation of puzzle obsessives after the phenomenal response to Su Doku. For those Su Doku fiends who are eager for variety, here is a collection of four of the most popular Japanese Logic Puzzles -- Hitori, Hashi, Slitherlink, Mosaic. Guaranteed to strain your brain for hours.", 07 April 2008,7281552,9780007281558,Japanese Logic Puzzles,Rs. 800.00,Paperback,320,-
Thunder's Mouth Press,"Mickey Hart, Jerry Garcia and April Higashi",,2005-09-22,1560257555,978-1560257554,Jerry Garcia: The Collected Artwork (Paperback),"Rs. 5,160.00",Paperback,208,27.7 x 27.9 x 1.7 cm
Penguin,Thurston Clarke,,2014-08-07,141048077,978-0141048079,JFK's Last Hundred Days: An Intimate Portrait of a Great President,"Rs. 2,600.00",Paperback,-,-
Oxford University Press,R. E Hawkins,"Jim Corbett's name has become legendary, and his stories of tiger-hunting expeditions have become classics of adventure. Over the years, the books in which he described these expeditions and his daily life in India achieved bestseller status around the world. Here is a selection of 22 of his most popular writings, taken from Man-Eaters of Kumaon, My India, Jungle Lore, and other volumes. In these stories, Corbett tells not only of the tracking and shooting of the man-eating leopards and tigers of India, and the amazing feats of skill and courage that saved people from the Panar leopard, the Chowgarh tigress, and the Muktesar maneater, but also of his love for India and the people with whom he lived and worked. Corbett's vivid and evocative descriptions of the people, the countryside, and its wildlife reveal him to be not only a world-class hunter, but also an ardent conservationist with an intimate knowledge of the mysterious Indian jungle.",1998,195624815,9780195624816,Jim Corbett's India,Rs. 745.00,Paperback,-,-
-,-,,-,-,-,John Wesley Harding,"Rs. 1,100.00",-,-,-
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen",Riley and Chloe's latest school assignment is to bring an adult they admire to school for career day. They don't want to ask their parents because they're afraid their parents will fight. So they bring Tedi (a model) and Manuelo (the family housekeeper) instead.,2002,7144504,9780007144501,Just Between Us:mary Kate & Ashley,Rs. 850.00,7144504,112,-
Harper,Justin Bieber,,2010-10-10,7395930,978-0007395934,"Justin Bieber: First Step 2 Forever, My Story [Hardcover]","Rs. 2,200.00",Hardcover,224,25.6 x 18.8 x 2.6 cm
-,-,,-,-,-,"Kane: Complete Plays: ""Blasted"", ""Phaedra's Love"", ""Cleansed"", ""","Rs. 2,800.00",-,-,-
Harpercollins,Rajendar Menen,"Rajendar Menen is a senior Mumbai-based journalist who has been writing on AIDS for many years. The street is his beat, and he has pounded it for many years, meeting people who live on the margins, empathizing with them, ferreting out their stories. He has visited brothels all over India, documenting the lives of the women who wind up in them. Karma Sutra is full of fascinating stories, stories that wrench your heart and give you goosepimples. Despite the dark lives of the subjects of the book, Menen s affection for them bathes the narrative in a warm glow. His own exploits he had to run for his life more than once give the book an additional zing.",2012,9350290941,9789350290941,Karma Sutra: Adventures Of A Street Bum,"Rs. 1,330.00",Paperback,226,-
CreateSpace Independent Publishing,Jessica Long,"A beautiful princess, a handsome prince, and now a bonny baby and heir. Is theirs a fairytale to behold? The British Royal family has undergone a resurgence in popularity in recent years. At the time of the death of Diana, Princess of Wales, confidence in the monarch and her monarchy, was at an all-time low. But with lessons learnt, and a new generation of young Royals emerging, interest in the Royals is now on the up. Kate Middleton is the woman responsible for bringing the interest and attention back to the British Royal Family. Following her marriage to Prince William, and the birth of their first child, Prince George, the public once again feel like they have a ‘People’s Princess’ in their midst. Find out who Kate is, where she comes from, what her family are like, how she met the Prince and what lies ahead of them, in our behind the scenes look at this corner of the House of Windsor.",2014-04-01,1497301912,9781497301917,"Kate: Loyal Wife, Royal Mother, Queen-In-Waiting ","Rs. 2,350.00",Paperback,48,-
-,-,,-,-,-,Keeping My Head: A Life in Cricket [Hardcover],"Rs. 3,300.00",-,-,-
-,-,,-,-,-,"KINGS & QUEENS OF COUNTRY, VARIOUS","Rs. 2,500.00",-,-,-
-,-,,-,-,-,Kirstie's Homemade Home [Hardcover],"Rs. 3,300.00",-,-,-
Chatto & Windus,Nigella Lawson,,2010-09-02,701184604,9780701184605,Kitchen: Recipes from the Heart of the Home (Hardcover),"Rs. 4,400.00",Hardcover,512,20.3 x 5.9 x 25.1 cm
-,-,,-,-,-,Knocked Out Loaded,"Rs. 1,100.00",-,-,-
Motilal Banarsidass,Kaisa Puhakka,,-,842608044,-,Knowledge And Reality A Comparative,Rs. 220.00,-,109,-
-,-,,-,-,-,Kollected:The Best of Kula Shaker,"Rs. 1,100.00",-,-,-
BT OPTIONS,HEMALALLINDRE RANAWAKE,,-,-,9789550821006,Kollu my way (H/B),"Rs. 6,000.00",-,157,220mm X 260mm
CBS Publishers & Distributors,Malik B. S.,,2006,8123904134,9788123904139,"Lab. Manual Of Veterinary Microbiology, Part 1, 4E ",Rs. 830.00,Paperback,-,-
CBS Publishers & Distributors,Malik B. S.,,2006,8123904487,9788123904481,"Lab. Manual Of Veterinary Microbiology, Part Ii, 4E ",Rs. 800.00,Paperback,-,-
Ministry of Labour Relations and Productivity Promotion Sri Lanka 2010,-,,-,-,9789558419175,Labour Code of Sri Lanka,"Rs. 4,000.00",-,638,215mmX295mm
Longman,Long Man,,01/04/2004,582854741,9780582854741,Ldoce 4 (ie- ),"Rs. 1,305.00",Paperback,1968,-
Rupa publications,"Satheesh Namasivayam, Sivaram Bandhakavi",,2012,8128119384,9788128119384,Leading Without Licence: Leadership The Anna Hazare Way ,Rs. 845.00,Paperback,158,7.75 x 5.1 Inches
Dreamtech Press,"Prof. Sham Tickoo, Manash Chatterjee",,2012-02-02,9350041222,9789350041222,LEARNING AUTODESK REVIT STRUCTURE 2011 FOR DESIGNERS ,"Rs. 2,400.00",Paperback,416,-
-,-,,-,-,-,Legacy: My Texas Roots,Rs. 800.00,-,-,-
-,-,,-,-,-,"LEGENDS OF THE BIG BAND ERA, VARIOUS","Rs. 2,500.00",-,-,-
Asian Education Services,William Wilson Hunter,,1896,8120605667,-,Life Of Brian Houghton Hodgson - British Resident At The Court Of Nepal ,"Rs. 8,800.00",-,390,-
Srishti Publishers & Distributors,Aporva Kala,"Like the Kumbh Fair, this book promises to open the doors of its readers' thinking, coaxing them to tarry for a few moments and re-examine their priorities in life.",2011,9380349503,9789380349503,Life...Love...Kumbh... ,Rs. 960.00,Paperback,-,-
Dreamtech Press,Timothy Perrett,,-,9350042922,9789350042922,Lift In Action: Covers Lift 2.X ,"Rs. 2,600.00",-,424,-
"Courage Books,U.S",Courage Books,,2006-03-07,762426403,978-0762426409,Lighthouses (Hardcover),"Rs. 3,000.00",Hardcover,96,22 x 21.8 x 1.8 cm
-,-,,-,-,-,Lights Out in Wonderland (Paperback),"Rs. 2,400.00",-,-,-
S. Godage & Brothers,W.S Karunathilaka,"Selected Articles on Middle Indo - Aryan, Sinhala, Tamil and Sri Lankan Gypsy Telugu Languages",2011,-,9789553032492,Link,Rs. 800.00,-,332,8.5 x 5.5
-,-,,-,-,-,Listen Without Prejudice,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Living After Midnight,"Rs. 1,100.00",-,-,-
Phi Learning,"Allen Colin, Hand Michael","This concise, clear and intelligently sequenced text gives a rigorous introduction to natural deduction systems of sentential and first-order logic. It is intended for a one-semester course in which propositional logic and predicate logic are introduced. The text consists of definitions, examples, comments and exercises. While it is student-oriented, the concise definitions and comments would require the assistance of the instructor. For, the text lends flexibility to the instructor to explain the principles, keeping in mind the audience. The book begins with a detailed discussion on Sentential Logic and covers such topics as basic logical notions, primitive rules of proof, and sequents and derived rules. It then goes on to give a description of Truth Tables, which includes an analysis of truth tables of sentences and sequents and indirect truth tables. Besides, it provides a comprehensive coverage of predicate logic. The text concludes with a description of Models. Exercises provided in each section and Answers to Selected Exercises at the end of the book should prove to be of considerable assistance to the students in comprehending the subject with greater ease. Students as well as teachers of philosophy should find this as a motivating and first choice book on logic. An innovative interactive website http://mitpress.mit.edu/LogicPrimer/, consisting of a Logic Daemon and a Quizmaster, encourages students to formulate their own proofs and provides links to appropriate explanations in the book.",2004,8120325303,9788120325302,Logic Primer,Rs. 495.00,Paperback,216,-
Steidl,Sarah Greenough,"Looking in: Robert Frank's ""The Americans""",-,3865218067,-,"Looking in: Robert Frank's ""The Americans""","Rs. 9,430.00",-,528,29.1 x 23.4 cm
Penguin Young Adult,Various,"On the bus, in the school play, in the classroom, at the Subway joint, love is everywhere! Ashish and Anjali, the worst of enemies, are cast opposite each other as Romeo and Juliet in the drama competition only to end their legendary enmity forever: Mahira and Prithvi bond over a humble Subway sandwich and discover their common love for soul music and much more: on a train from Brussels to Paris, Shayari meets Matus is it serendipity or coincidence that he is exactly the guy she has been dreaming about all her life?",2012,143332325,9780143332329,Love Like That And Other Stories ,Rs. 990.00,Paperback,160,-
Harper,Jack Higgins,"The brilliant suspense thriller from the author of THE EAGLE HAS LANDED, set in the wartime battlegrounds of the Mediterranean.",2011,7274211,9780007274215,Luciano s Luck: The Classic best-seller,"Rs. 1,665.00",Paperback,320,-
-,-,,-,-,-,Lucky Town,"Rs. 1,100.00",-,-,-
"Running Press,U.S",Elisabeth Edwards,,2004-09-22,076241572X,9780762415724,Lucy & Desi: The Real Life Scrapbook Of America's Favorite TV Co,"Rs. 5,800.00",Hardcover,64,31 x 27.9 x 2.8 cm
