Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
 HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Mary-Kate and Ashley star as twins Chloe and Riley Carlson in the TV show ""So Little Time"". Chloe really likes her new boyfriend, but is told to ""learn the rules"" and not show him she likes him until the fourth date. Meanwhile, a guy in a cafe turns one of Riley's obscure poems into a song",2003,7144555,9780007144556,A Girl's Guide to Guys (So Little Time),Rs. 850.00,Paperback,112,-
-,-,,-,-,-,A History of the World in 100 Objects [Hardcover],"Rs. 4,460.00",-,-,-
Cbs,Malik B. S.,,01 December 2009,8123904673,9788123904672,"A Laboratory Manual Of Veterinary Microbiology, Part 3",Rs. 245.00,Paperback,-,-
-,-,,-,-,-,"A LOVELY WAY TO SPEND AN EVENING, FRANK SINATRA",Rs. 800.00,-,-,-
Coronet Books,Lorna Byrne,A ray of hope in dark times,16 February 2012,144472987X,9781444729870,A Message of Hope from the Angels ,"Rs. 2,380.00",Hardcover,224,-
Munshiram Manoharlal,Ananda K Coomaraswamy,"This book, 'A New Approach to the Vedas' is a translated essay and exegesis in relation to the Vedas in which passages from Rigveda and the Brahmadaranyaka and Maitri Upanishads, dealing with cosmology, ontology and teleology, have been interpreted in a new perception of the quite extraordinary depth of those ideas and their amazing psychological accuracy. The passages translated and interpreted in this book reflect their technical significance and at the same time a comparative approach. This has been made the work exceptional in regard to quality, understanding and depth.",1933,8121506301,-,A New Approach To The Vedas ,Rs. 627.00,Hardcover,115,-
Candy Jar Books,Colin Edwards,,2014-04-10,957154844,9780957154841,A Personal Portrait of the Royal Family,"Rs. 5,300.00",Paperback,-,-
Random House Publishing Group,Aldo Leopold,"""We can place this book on the shelf that holds the writings of Thoreau and John Muir."" San Francisco Chronicle These astonishing portraits of the natural world explore the breathtaking diversity of the unspoiled American landscape -- the mountains and the prairies, the deserts and the coastlines. A stunning tribute to our land and a bold challenge to protect the world we love.",12/1986,345345053,9780345345059,A Sand County Almanac,"Rs. 1,800.00",Paperback,320,6.88 x 4.26 x 0.85 inches
Vijitha Yapa Publications,"A.P.Kannangara, D. Phil. (Oxon.)","The book is in two parts. In the first part he describes how different sectors of the people in Sri Lanka found themselves defined in the course of the nineteenth century, and the responses they made to the changes they had to contend with. In the second part he engages in a critical study of colonialism, the devaluing of primordial institutions and the imposing of different social structures, leaving individuals to fight their way through a society to which they were tenuously connected. At one level the second part was also a narrative but it was a narrative which involves comparison and analysis. It is a description of the social changes that began in the nineteenth century and continued till the mid twentieth century. This is a posthumously published book. The Author died in July 2004. He had collected a lot of information from the Sri Lankan National Archives, the British National Archives in London, the Bibliotheque Nationale in Paris,…. and left a tentative plan for the book…”. After his death his wife, Monica was determined to have the book published on his behalf and undertook to fulfil her husband’s aspirations. This, she has done.",-,-,9789556651454,A Survey of Social Change in an Imperial Regime,Rs. 980.00,-,252,145mm X 205mm
PENGUIN GROUP,CHARLES DICKENS,,-,141439602,-,A TALE OF TWO CITIES ,Rs. 875.00,-,448,-
Quercus,Corban Addison,"Ahalya Ghai and her younger sister Sita are as close as sisters can be. But their loving and secure childhood ends abruptly one day when a tsunami rips through their village on India’s Coromandel coast. Their home is swept away, and Ahalya and Sita are the sole survivors of their family. Destitute, their only hope is to find refuge at a convent in Chennai, many miles away. A driver agrees to take them. But the moment they get into that car their fate is sealed. The two sisters – confused, alone, totally reliant on each other – are sold. Worse, they are separated. On the other side of the world, Washington lawyer Thomas Clarke is struggling to cope after the death of his baby daughter and the collapse of his marriage to Priya. He takes a sabbatical from his high-pressure job and accepts a position with the Bombay branch of an international anti-trafficking group. Thomas is now on a path that not only involves saving himself and his marriage, but the lives of two sisters who cannot bear to be apart.",2012,857388185,9780857388186,A Walk Across The Sun,"Rs. 1,750.00",Paperback,432,-
Midland Publishing,Allan S. Wright,"Still the most authoritative and comprehensive guide to all the aircraft registered in Britain and overseas airliners to be seen in British skies, now fully updated for the new season.",-,1857803574,9781857803570,ABC Civil Aircraft Markings 2012,Rs. 900.00,Paperback,448,-
Midland Publishing,Howard J Curtis,The 2012 edition of Military Aircraft Markings will continue to lead the field in the spotter's guide market and produced for military aviation enthusiasts at the start of the show season.,15 March 2012,1857803582,9781857803587,ABC Military Aircraft Markings 2012,Rs. 895.00,Paperback,224,-
-,-,,-,-,-,African Heartland Discography,Rs. 800.00,-,-,-
Graphicare,Upatissa Attygalle,,-,-,9789555344616,After all Women are Human too and other stories,"Rs. 5,000.00",-,168,135mmX195mm
Headline Book Publishing,Joan Jonker,A funny and touching Liverpool saga from the popular Joan Jonker,06 September 2001,074726614X,9780747266143,After the Dance is Over,"Rs. 1,900.00",Paperback,512,-
Farrar Straus Giroux,Alice Mcdermott,,2006-09,374168091,9780374168094,After This,"Rs. 3,350.00",Hardcover,279,8.32 x 5.9 x 0.99 inches
Harpercollins Pb,Agatha Christie,,2001,7299834,9780007299836,Agatha Christie : Labours Of Hercules,"Rs. 1,180.00",Paperback,-,-
harper collins india,Agatha Christie,"A conjurer of skill with an instinct for detection, Mr. Harley Quin has an almost magical flair for appearing at the scene of the most remarkable crimes. But is it just a trick of light that haunts his shadow with a ghostly apparition? Is it fate that invites him to a New Year's murder? And what forces are at work when his car breaks down outside Royalston Hall, an isolated estate with a deadly history?",2003,7282648,9780007282647,Agatha Christie : Mystereous Mr. Quin ,"Rs. 1,180.00",Paperback,-,-
-,-,,-,-,-,All The Way...A Decade of Song,"Rs. 1,100.00",-,-,-
